"Y","Frk","FruP","FruE","FruF","FruG","FruK","FruA","FruA2a","FruA2b","FruA2c","FruR","FruR2","FruT","ScrP","ScrT","Agl13D","ScrF","ScrG","ScrH","ScrR","AmsA","CscA","CscB","CscR","ScrA","ScrB","ScrR2","BfrA","BfrB","BfrC","BfrD","BfrR","BfrA2","BfrB2","BfrC2","BfrD2","BfrR2","BfrA3","aFFase1","DfaA","DfaB","DfaC","DfaR","DFAase91","DfaF","DfaG","DfaH","DfaR2"
0,"1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","1","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","1","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","1","1","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
