"Y","GalK","GalT","GalE","LnpD","Pgm","GalP","GalS","SgaT","GalR","GalR2"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","0","1","0","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"1","1","1","1","1","1","1","1","0","1","0"
"0","1","1","1","0","1","0","0","0","1","0"
"0","0","0","0","1","0","0","1","0","0","0"
"0","0","0","0","0","0","1","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","1","1","0","1","1","0","1","0"
"0","0","0","1","0","1","1","1","0","1","0"
"0","1","1","1","1","1","0","0","0","1","0"
"0","1","1","0","1","1","0","0","0","1","0"
"1","0","1","1","1","1","0","0","1","1","0"
"1","1","0","1","0","1","1","0","0","0","0"
"1","1","1","0","0","1","1","0","0","1","0"
"1","1","1","0","0","1","1","0","0","1","0"
